gene_names,ParA-1,EtopR-1,DoxR-1,DasR-1,AfatR-1,LapR-1,GefR-1,GenR-1,MubR-1,SunR-1,PurR-1,TXR-1
OR4F5,4.24000810381238,4.46441023874756,3.98184311807465,4.66356395283288,4.81042778506495,5.11529549615068,4.89709391452346,3.58614466414345,4.36440772960274,4.00568099484701,5.00213223566512,4.54477200413145
LINC00266-1,7.62619026957008,8.17598742712981,8.51642681253895,8.25397299318711,8.06219249839228,8.17845718360434,8.25073246346778,8.00103382625528,8.55382455513541,8.54114064668236,7.89932525929244,7.88278968638974
FLJ43681,8.12580858114069,7.98117068505503,8.26135845773763,8.38283413034036,8.06957651295712,8.12988656013145,8.09827711834015,8.10275770828408,8.48491264613326,8.39293255686948,7.21363660705513,7.26612936301956
LOC100287934,6.83707134891451,6.50140151112618,6.47414267293631,6.41741995683915,5.64641740242762,6.23655599107872,6.90583660600011,6.3554603268873,6.41144040558647,6.28828933937352,6.01363087698162,6.37284035604481
FAM87B,6.04314512559067,5.99142337926715,5.95557803605306,6.1201129594986,6.03836762855706,6.00487888776056,6.1091062122859,5.81380764126837,5.91639697253993,6.00912702983386,6.08019210704431,5.90787475020455
LINC01128,7.09133939498556,7.52364022819684,7.29848086222469,7.29955557987169,7.19010440264135,7.19903006847555,7.71185519545936,7.48285439522885,7.35874868130717,7.36578815229904,7.67378905315924,6.8161164124554
LOC284600,6.4216658617975,7.07323755220444,7.22961143658176,6.78741266807196,7.00869970141734,6.61908972554652,7.03649140537841,6.83962259940942,7.03037171423718,7.14101569417507,6.32470857051453,5.99233411349109
SAMD11,6.56610651351624,6.93349026330223,6.98734973738386,6.83356488070813,7.01526939969496,6.84387605610011,6.80305301035485,6.74494663245829,6.86436300270496,6.93411310736925,6.65490265349826,6.6192508813483
KLHL17,7.37622463722168,7.73861781043404,7.59417335044391,7.44243529678142,7.67499963096675,7.64807701875708,7.79474641084047,7.86292488597438,7.58849754126329,7.61890534036491,7.32029773314677,7.12204378707268
PLEKHN1,7.51380051726455,7.81181273146845,7.82275544441016,7.77042918078399,8.10905165483881,7.76753698531463,7.63231960424787,7.76967492555023,7.90785609930279,7.80206740821874,7.8698549533299,7.63534696509145
ISG15,7.43468871476879,8.4801853933116,8.43020759994544,8.41252188592341,8.65008224165007,8.43993984986064,9.01685246436739,8.53852839306593,8.52687779928003,8.39224179257747,7.97266169051072,8.27075093383286
AGRN,8.75250757557534,8.47873563167754,8.14686459311749,7.98928120958554,8.08612373591208,8.16153369143863,7.92200030644067,8.35037677346974,8.16569679192599,8.19839789709707,8.82848337180854,9.36399566548095
LINC01342,5.41165421219438,5.59857632234494,5.75889779213545,5.53670771852454,5.46438671980046,5.61896231908045,5.0116051807189,5.40623672703722,5.52943415727676,5.40623672703722,5.53670771852454,5.53021513132861
MIR200B,6.29329239810483,6.4137565401103,6.03117878488635,6.1848156676036,6.30741995574177,6.47804767060737,6.02523502481038,6.39119037232893,6.17649351226077,6.29977319899643,6.10715541772394,6.33725108375469
MIR200A,5.09976349662729,4.51129415996746,4.7210764049256,4.49924534143327,4.68074746165125,4.94517611335638,4.370037703981,4.72470094305767,4.81758890019745,4.75120670212421,5.18691049676879,4.88449932038558
MIR429,4.69056738672089,4.1229859544071,4.53905676171134,4.03367245057423,4.65135918609091,4.34824295956171,4.41759349604281,4.25499041694535,4.38336839780874,4.34824295956171,4.41225627285277,4.46909934951025
TTLL10,6.60837478680144,6.69398029968176,6.76720811117274,6.85426647619096,6.83158918966244,6.70482082802749,6.72255853087044,6.66551234698873,6.67313478732876,6.93728667306769,6.84315721891847,6.81807872257531
B3GALT6,8.57838530352786,9.14244009359094,9.35005281959281,8.82149240788253,9.29952380351259,9.25320407583933,8.87692095365187,8.91423615630398,9.28795754243981,9.36558897656581,8.85243768157491,8.06356381267057
SCNN1D,6.4715576879509,6.29159151494949,6.29500018597421,6.28518706161129,6.78853902812788,6.4453262116176004,6.33106532259201,6.1870081862934,6.22038612734547,6.40691345301943,6.42485365148095,6.19766357580218
