"","Wells","Signal","Condition","Rep","L_Concentration","D_Concentration","Plate_ID","Exp_Date","TF_booster"
"1","C01",34134,"D",1,"0uM","10uM","BIC_luc","2017_10_13B","NO"
"2","C10",646,"NO treat",1,"0uM","0uM","BIC_luc","2017_10_13B","NO"
"3","C11",3605753,"Post Cntrl",1,"0","0","BIC_luc","2017_10_13B","NO"
"4","C12",22437,"Neg Cntrl",1,"0","0","BIC_luc","2017_10_13B","NO"
"5","D01",23948,"D",2,"0uM","10uM","BIC_luc","2017_10_13B","NO"
"6","D10",4165,"NO treat",2,"0uM","0uM","BIC_luc","2017_10_13B","NO"
"7","D11",3793695,"Post Cntrl",2,"0","0","BIC_luc","2017_10_13B","NO"
"8","D12",21686,"Neg Cntrl",2,"0","0","BIC_luc","2017_10_13B","NO"
"9","E01",23132,"D",3,"0uM","10uM","BIC_luc","2017_10_13B","NO"
"10","E10",5202,"NO treat",3,"0uM","0uM","BIC_luc","2017_10_13B","NO"
"11","E11",3562927,"Post Cntrl",3,"0","0","BIC_luc","2017_10_13B","NO"
"12","E12",21426,"Neg Cntrl",3,"0","0","BIC_luc","2017_10_13B","NO"
"13","F01",23768,"D",4,"0uM","10uM","BIC_luc","2017_10_13B","NO"
"14","F10",5586,"NO treat",4,"0uM","0uM","BIC_luc","2017_10_13B","NO"
"15","F11",1738094,"Post Cntrl",4,"0","0","BIC_luc","2017_10_13B","NO"
"16","F12",19038,"Neg Cntrl",4,"0","0","BIC_luc","2017_10_13B","NO"
"17","G01",334529,"D+L",1,"1nM","10uM","BIC_luc","2017_10_13B","NO"
"18","G02",304161,"D+L",2,"1nM","10uM","BIC_luc","2017_10_13B","NO"
"19","G03",327884,"D+L",3,"1nM","10uM","BIC_luc","2017_10_13B","NO"
"20","G04",284332,"D+L",4,"1nM","10uM","BIC_luc","2017_10_13B","NO"
"21","G05",349042,"L",1,"1nM","0uM","BIC_luc","2017_10_13B","NO"
"22","G06",454167,"L",2,"1nM","0uM","BIC_luc","2017_10_13B","NO"
"23","G07",317552,"L",3,"1nM","0uM","BIC_luc","2017_10_13B","NO"
"24","G08",242546,"L",4,"1nM","0uM","BIC_luc","2017_10_13B","NO"
"25","G10",3185,"Blank",1,"0","0","BIC_luc","2017_10_13B","NO"
"26","G11",3094,"Blank",2,"0","0","BIC_luc","2017_10_13B","NO"
"27","G12",2652,"Blank",3,"0","0","BIC_luc","2017_10_13B","NO"
"28","C01",12636,"D",1,"0uM","10uM","BIC_luc","2017_09_29","NO"
"29","C03",50004,"D+L",1,"1nM","10uM","BIC_luc","2017_09_29","NO"
"30","C07",43740,"L",1,"1nM","10uM","BIC_luc","2017_09_29","NO"
"31","C10",8823,"NO treat",1,"0uM","0uM","BIC_luc","2017_09_29","NO"
"32","C11",1233436,"Post Cntrl",1,"0","0","BIC_luc","2017_09_29","NO"
"33","C12",19416,"Neg Cntrl",1,"0","0","BIC_luc","2017_09_29","NO"
"34","D01",11164,"D",2,"0uM","10uM","BIC_luc","2017_09_29","NO"
"35","D03",41671,"D+L",2,"1nM","10uM","BIC_luc","2017_09_29","NO"
"36","D07",35037,"L",2,"1nM","10uM","BIC_luc","2017_09_29","NO"
"37","D10",8323,"NO treat",2,"0uM","0uM","BIC_luc","2017_09_29","NO"
"38","D11",930483,"Post Cntrl",2,"0","0","BIC_luc","2017_09_29","NO"
"39","D12",15390,"Neg Cntrl",2,"0","0","BIC_luc","2017_09_29","NO"
"40","E01",10557,"D",3,"0uM","10uM","BIC_luc","2017_09_29","NO"
"41","E03",46368,"D+L",3,"1nM","10uM","BIC_luc","2017_09_29","NO"
"42","E07",35018,"L",3,"1nM","10uM","BIC_luc","2017_09_29","NO"
"43","E10",8251,"NO treat",3,"0uM","0uM","BIC_luc","2017_09_29","NO"
"44","E11",533127,"Post Cntrl",3,"0","0","BIC_luc","2017_09_29","NO"
"45","E12",13259,"Neg Cntrl",3,"0","0","BIC_luc","2017_09_29","NO"
"46","F01",13043,"D",4,"0uM","10uM","BIC_luc","2017_09_29","NO"
"47","F03",48813,"D+L",4,"1nM","10uM","BIC_luc","2017_09_29","NO"
"48","F07",42904,"L",4,"1nM","10uM","BIC_luc","2017_09_29","NO"
"49","F10",7712,"NO treat",4,"0uM","0uM","BIC_luc","2017_09_29","NO"
"50","F11",500433,"Post Cntrl",4,"0","0","BIC_luc","2017_09_29","NO"
"51","F12",14897,"Neg Cntrl",4,"0","0","BIC_luc","2017_09_29","NO"
