Wells,Signal,Condition,Rep,L_Concentration,L_Units,D_Concentration,D_Units,Plate_ID,Exp_Date,TF_booster
C01,23768,D,1,0,uM,10,uM,BIC_luc,2017_10_13B,FALSE
C10,4165,NO treat,1,0,uM,0,uM,BIC_luc,2017_10_13B,FALSE
D01,5996,D,2,0,uM,10,uM,BIC_luc,2017_10_13B,FALSE
D10,50004,NO treat,2,0,uM,0,uM,BIC_luc,2017_10_13B,FALSE
E01,3559,D,3,0,uM,10,uM,BIC_luc,2017_10_13B,FALSE
E10,327884,NO treat,3,0,uM,0,uM,BIC_luc,2017_10_13B,FALSE
F01,43740,D,4,0,uM,10,uM,BIC_luc,2017_10_13B,FALSE
F10,45499,NO treat,4,0,uM,0,uM,BIC_luc,2017_10_13B,FALSE
G01,4641,D+L,1,1,nM,10,uM,BIC_luc,2017_10_13B,FALSE
G02,9140,D+L,2,1,nM,10,uM,BIC_luc,2017_10_13B,FALSE
G03,5974,D+L,3,1,nM,10,uM,BIC_luc,2017_10_13B,FALSE
G04,17418,D+L,4,1,nM,10,uM,BIC_luc,2017_10_13B,FALSE
G05,7712,L,1,1,nM,0,uM,BIC_luc,2017_10_13B,FALSE
G06,48417,L,2,1,nM,0,uM,BIC_luc,2017_10_13B,FALSE
G07,8251,L,3,1,nM,0,uM,BIC_luc,2017_10_13B,FALSE
G08,454167,L,4,1,nM,0,uM,BIC_luc,2017_10_13B,FALSE
C01,5658,D,1,0,uM,10,uM,BIC_luc,2017_09_29,FALSE
C03,4261,D+L,1,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
C07,5002,L,1,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
C10,82794,NO treat,1,0,uM,0,uM,BIC_luc,2017_09_29,FALSE
D01,50428,D,2,0,uM,10,uM,BIC_luc,2017_09_29,FALSE
D03,5155,D+L,2,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
D07,44391,L,2,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
D10,4216,NO treat,2,0,uM,0,uM,BIC_luc,2017_09_29,FALSE
E01,3107,D,3,0,uM,10,uM,BIC_luc,2017_09_29,FALSE
E03,216752,D+L,3,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
E07,23132,L,3,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
E10,35037,NO treat,3,0,uM,0,uM,BIC_luc,2017_09_29,FALSE
F01,41245,D,4,0,uM,10,uM,BIC_luc,2017_09_29,FALSE
F03,3533,D+L,4,1,nM,10,uM,BIC_luc,2017_09_29,FALSE
